ProcessName,RegionName,Time,Parameter,Unit,Central,Eastern,Western,Northwest,North,Northeast,BajaCalif,BajaCalifSouth,Peninsular
CC_GAS,Central,2020,cap_par,MUSD/PJ,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573
OC_GAS,Central,2020,cap_par,MUSD/PJ,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573,24.3026573
OC_OIL,Central,2020,cap_par,MUSD/PJ,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376
BIO,Central,2020,cap_par,MUSD/PJ,97.25425308,97.25425308,97.25425308,97.25425308,97.25425308,97.25425308,97.25425308,97.25425308,97.25425308
ON_WIND,Central,2020,cap_par,MUSD/PJ,44.69559941,44.69559941,44.69559941,44.69559941,44.69559941,44.69559941,44.69559941,44.69559941,44.69559941
OFF_WIND,Central,2020,cap_par,MUSD/PJ,102.336802,102.336802,102.336802,102.336802,102.336802,102.336802,102.336802,102.336802,102.336802
GEOTH,Central,2020,cap_par,MUSD/PJ,262.7138852,262.7138852,262.7138852,262.7138852,262.7138852,262.7138852,262.7138852,262.7138852,262.7138852
PV_GND,Central,2020,cap_par,MUSD/PJ,49.71650882,49.71650882,49.71650882,49.71650882,49.71650882,49.71650882,49.71650882,49.71650882,49.71650882
HYD_LS,Central,2020,cap_par,MUSD/PJ,50.36741565,50.36741565,50.36741565,50.36741565,50.36741565,50.36741565,50.36741565,50.36741565,50.36741565
HYD_SS,Central,2020,cap_par,MUSD/PJ,100.7348313,100.7348313,100.7348313,100.7348313,100.7348313,100.7348313,100.7348313,100.7348313,100.7348313
CC_OIL,Central,2020,cap_par,MUSD/PJ,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376,44.27640376
FB,Central,2020,cap_par,MUSD/PJ,65.21317577,65.21317577,65.21317577,65.21317577,65.21317577,65.21317577,65.21317577,65.21317577,65.21317577
COAL,Central,2020,cap_par,MUSD/PJ,62.10778646,62.10778646,62.10778646,62.10778646,62.10778646,62.10778646,62.10778646,62.10778646,62.10778646
