asset,year,dst_region,region,technology,installed,capacity
0,2045,BajaCalif,BajaCalif,GAS_GT,2020,33.66140000000
0,2049,BajaCalif,BajaCalif,GAS_GT,2020,26.92910000000
0,2050,BajaCalif,BajaCalif,GAS_GT,2020,25.24610000000
0,2054,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2055,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2059,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2060,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2064,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2065,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2069,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2070,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2074,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
0,2075,BajaCalif,BajaCalif,GAS_GT,2020,12.62300000000
1,2045,BajaCalif,BajaCalif,GEOTH,2020,8.08230000000
1,2049,BajaCalif,BajaCalif,GEOTH,2020,6.46590000000
1,2050,BajaCalif,BajaCalif,GEOTH,2020,6.06170000000
1,2054,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2055,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2059,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2060,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2064,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2065,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2069,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2070,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2074,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
1,2075,BajaCalif,BajaCalif,GEOTH,2020,3.03090000000
2,2045,BajaCalif,BajaCalif,OIL,2020,0.02990000000
2,2049,BajaCalif,BajaCalif,OIL,2020,0.02390000000
2,2050,BajaCalif,BajaCalif,OIL,2020,0.02250000000
2,2054,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2055,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2059,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2060,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2064,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2065,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2069,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2070,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2074,BajaCalif,BajaCalif,OIL,2020,0.01120000000
2,2075,BajaCalif,BajaCalif,OIL,2020,0.01120000000
4,2045,BajaCalif,BajaCalif,PV_GND,2020,0.10480000000
4,2049,BajaCalif,BajaCalif,PV_GND,2020,0.08380000000
4,2050,BajaCalif,BajaCalif,PV_GND,2020,0.07860000000
4,2054,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2055,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2059,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2060,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2064,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2065,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2069,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2070,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2074,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
4,2075,BajaCalif,BajaCalif,PV_GND,2020,0.03930000000
7,2045,BajaCalif,BajaCalif,WIND_ON,2020,0.14970000000
7,2049,BajaCalif,BajaCalif,WIND_ON,2020,0.11970000000
7,2050,BajaCalif,BajaCalif,WIND_ON,2020,0.11230000000
7,2054,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2055,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2059,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2060,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2064,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2065,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2069,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2070,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2074,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
7,2075,BajaCalif,BajaCalif,WIND_ON,2020,0.05610000000
8,2045,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,1.69130000000
8,2049,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,1.35300000000
8,2050,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,1.26850000000
8,2054,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2055,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2059,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2060,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2064,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2065,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2069,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2070,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2074,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
8,2075,BajaCalifSouth,BajaCalifSouth,GAS_GT,2020,0.63420000000
9,2045,BajaCalifSouth,BajaCalifSouth,OIL,2020,7.10950000000
9,2049,BajaCalifSouth,BajaCalifSouth,OIL,2020,5.68760000000
9,2050,BajaCalifSouth,BajaCalifSouth,OIL,2020,5.33210000000
9,2054,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2055,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2059,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2060,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2064,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2065,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2069,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2070,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2074,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
9,2075,BajaCalifSouth,BajaCalifSouth,OIL,2020,2.66600000000
11,2045,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,1.24230000000
11,2049,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.99380000000
11,2050,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.93170000000
11,2054,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2055,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2059,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2060,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2064,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2065,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2069,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2070,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2074,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
11,2075,BajaCalifSouth,BajaCalifSouth,PV_GND,2020,0.46590000000
14,2045,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.74840000000
14,2049,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.59870000000
14,2050,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.56130000000
14,2054,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2055,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2059,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2060,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2064,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2065,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2069,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2070,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2074,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
14,2075,BajaCalifSouth,BajaCalifSouth,WIND_ON,2020,0.28060000000
15,2045,Central,Central,BIO,2020,0.01500000000
15,2049,Central,Central,BIO,2020,0.01200000000
15,2050,Central,Central,BIO,2020,0.01120000000
15,2054,Central,Central,BIO,2020,0.00560000000
15,2055,Central,Central,BIO,2020,0.00560000000
15,2059,Central,Central,BIO,2020,0.00560000000
15,2060,Central,Central,BIO,2020,0.00560000000
15,2064,Central,Central,BIO,2020,0.00560000000
15,2065,Central,Central,BIO,2020,0.00560000000
15,2069,Central,Central,BIO,2020,0.00560000000
15,2070,Central,Central,BIO,2020,0.00560000000
15,2074,Central,Central,BIO,2020,0.00560000000
15,2075,Central,Central,BIO,2020,0.00560000000
19,2045,Central,Central,GAS_GT,2020,62.51830000000
19,2045,Eastern,Central,GAS_GT,2020,16.94000000000
19,2045,Western,Central,GAS_GT,2020,20.25070000000
19,2049,Central,Central,GAS_GT,2020,50.01470000000
19,2049,Eastern,Central,GAS_GT,2020,13.55200000000
19,2049,Western,Central,GAS_GT,2020,16.20060000000
19,2050,Central,Central,GAS_GT,2020,46.88880000000
19,2050,Eastern,Central,GAS_GT,2020,12.70500000000
19,2050,Western,Central,GAS_GT,2020,15.18800000000
19,2054,Central,Central,GAS_GT,2020,23.44440000000
19,2054,Eastern,Central,GAS_GT,2020,6.35250000000
19,2054,Western,Central,GAS_GT,2020,7.59400000000
19,2055,Central,Central,GAS_GT,2020,23.44440000000
19,2055,Eastern,Central,GAS_GT,2020,6.35250000000
19,2055,Western,Central,GAS_GT,2020,7.59400000000
19,2059,Central,Central,GAS_GT,2020,23.44440000000
19,2059,Eastern,Central,GAS_GT,2020,6.35250000000
19,2059,Western,Central,GAS_GT,2020,7.59400000000
19,2060,Central,Central,GAS_GT,2020,23.44440000000
19,2060,Eastern,Central,GAS_GT,2020,6.35250000000
19,2060,Western,Central,GAS_GT,2020,7.59400000000
19,2064,Central,Central,GAS_GT,2020,23.44440000000
19,2064,Eastern,Central,GAS_GT,2020,6.35250000000
19,2064,Western,Central,GAS_GT,2020,7.59400000000
19,2065,Central,Central,GAS_GT,2020,23.44440000000
19,2065,Eastern,Central,GAS_GT,2020,6.35250000000
19,2065,Western,Central,GAS_GT,2020,7.59400000000
19,2069,Central,Central,GAS_GT,2020,23.44440000000
19,2069,Eastern,Central,GAS_GT,2020,6.35250000000
19,2069,Western,Central,GAS_GT,2020,7.59400000000
19,2070,Central,Central,GAS_GT,2020,23.44440000000
19,2070,Eastern,Central,GAS_GT,2020,6.35250000000
19,2070,Western,Central,GAS_GT,2020,7.59400000000
19,2074,Central,Central,GAS_GT,2020,23.44440000000
19,2074,Eastern,Central,GAS_GT,2020,6.35250000000
19,2074,Western,Central,GAS_GT,2020,7.59400000000
19,2075,Central,Central,GAS_GT,2020,23.44440000000
19,2075,Eastern,Central,GAS_GT,2020,6.35250000000
19,2075,Western,Central,GAS_GT,2020,7.59400000000
21,2045,Central,Central,HYD,2020,1.21230000000
21,2049,Central,Central,HYD,2020,0.96990000000
21,2050,Central,Central,HYD,2020,0.90930000000
21,2054,Central,Central,HYD,2020,0.45460000000
21,2055,Central,Central,HYD,2020,0.45460000000
21,2059,Central,Central,HYD,2020,0.45460000000
21,2060,Central,Central,HYD,2020,0.45460000000
21,2064,Central,Central,HYD,2020,0.45460000000
21,2065,Central,Central,HYD,2020,0.45460000000
21,2069,Central,Central,HYD,2020,0.45460000000
21,2070,Central,Central,HYD,2020,0.45460000000
21,2074,Central,Central,HYD,2020,0.45460000000
21,2075,Central,Central,HYD,2020,0.45460000000
22,2045,Central,Central,OIL,2020,2.06550000000
22,2049,Central,Central,OIL,2020,1.65240000000
22,2050,Central,Central,OIL,2020,1.54910000000
22,2054,Central,Central,OIL,2020,0.77460000000
22,2055,Central,Central,OIL,2020,0.77460000000
22,2059,Central,Central,OIL,2020,0.77460000000
22,2060,Central,Central,OIL,2020,0.77460000000
22,2064,Central,Central,OIL,2020,0.77460000000
22,2065,Central,Central,OIL,2020,0.77460000000
22,2069,Central,Central,OIL,2020,0.77460000000
22,2070,Central,Central,OIL,2020,0.77460000000
22,2074,Central,Central,OIL,2020,0.77460000000
22,2075,Central,Central,OIL,2020,0.77460000000
23,2045,Central,Central,PV_GND,2020,0.31430000000
23,2049,Central,Central,PV_GND,2020,0.25150000000
23,2050,Central,Central,PV_GND,2020,0.23570000000
23,2054,Central,Central,PV_GND,2020,0.11790000000
23,2055,Central,Central,PV_GND,2020,0.11790000000
23,2059,Central,Central,PV_GND,2020,0.11790000000
23,2060,Central,Central,PV_GND,2020,0.11790000000
23,2064,Central,Central,PV_GND,2020,0.11790000000
23,2065,Central,Central,PV_GND,2020,0.11790000000
23,2069,Central,Central,PV_GND,2020,0.11790000000
23,2070,Central,Central,PV_GND,2020,0.11790000000
23,2074,Central,Central,PV_GND,2020,0.11790000000
23,2075,Central,Central,PV_GND,2020,0.11790000000
24,2045,Eastern,Eastern,BIO,2020,2.46960000000
24,2049,Eastern,Eastern,BIO,2020,1.97570000000
24,2050,Eastern,Eastern,BIO,2020,1.85220000000
24,2054,Eastern,Eastern,BIO,2020,0.92610000000
24,2055,Eastern,Eastern,BIO,2020,0.92610000000
24,2059,Eastern,Eastern,BIO,2020,0.92610000000
24,2060,Eastern,Eastern,BIO,2020,0.92610000000
24,2064,Eastern,Eastern,BIO,2020,0.92610000000
24,2065,Eastern,Eastern,BIO,2020,0.92610000000
24,2069,Eastern,Eastern,BIO,2020,0.92610000000
24,2070,Eastern,Eastern,BIO,2020,0.92610000000
24,2074,Eastern,Eastern,BIO,2020,0.92610000000
24,2075,Eastern,Eastern,BIO,2020,0.92610000000
30,2045,Eastern,Eastern,GAS_GT,2020,67.75990000000
30,2045,Peninsular,Eastern,GAS_GT,2020,13.23860000000
30,2049,Eastern,Eastern,GAS_GT,2020,54.20790000000
