ProcessName,RegionName,Time,Level,methanol,sfuel,pcoal,naphtha,keroj,hfo,ngl,msw,hardcoal,encrops,agrires,algae,electricity,oil,gas,geo,heat,hydrogen,wind,lignite,biomass,water,uranium,solar,coal,diesel,biodiesel,ethanol,steel,cement,chemicals,minerals,paper,glass,sugar,beer,vehicles,construction,beverages,rubber,fertilizers,tobaco,other_ind,cars,buses,psg_rail,psg_air,psg_mar,lorries,cargo_rail,cargo_air,cargo_mar,light,heating,cool,hwater,cook,appl,fruits,vegt,livestock,milk,other_agr,seeds,plants,CO2f,dry_gas,lp_gas,gasoline,kerosene,fuel_oil,asphalt,lubricant,diesel_oil,coke,other_ref,biogas,bioethanol,hydro,tidal,wave
Unit,-,Year,-,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,Mt/PJ,pkm/PJ,pkm/PJ,pkm/PJ,pkm/PJ,pkm/PJ,tkm/PJ,tkm/PJ,tkm/PJ,tkm/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,Mt/Mha,Mt/Mha,Mt/Mha,Ml/Mha,Mt/Mha,Mt/Mha,Mt/Mha,kt/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ,PJ/PJ
agrTraditionalCropping_fruits,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0.361035202,0,0,0,0,0,0,0,0,0.463189967,0,0,0,0.870911554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015757493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040199832,0,0,0,0,0,0,0,0,0,0,0,0,0
agrModernCropping_fruits,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,1.157498897,0,0,0,0,0,0,0,0,1.485012744,0,0,0,2.792190785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050519396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128882893,0,0,0,0,0,0,0,0,0,0,0,0,0
agrTraditionalCropping_vegt,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0.361035202,0,0,0,0,0,0,0,0,0.463189967,0,0,0,0.870911554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015757493,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.040199832,0,0,0,0,0,0,0,0,0,0,0,0,0
agrModernCropping_vegt,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,1.157498897,0,0,0,0,0,0,0,0,1.485012744,0,0,0,2.792190785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.050519396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128882893,0,0,0,0,0,0,0,0,0,0,0,0,0
agrTraditionalCropping_seeds,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0.180517601,0,0,0,0,0,0,0,0,0.231594983,0,0,0,0.435455777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007878746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.020099916,0,0,0,0,0,0,0,0,0,0,0,0,0
agrModernCropping_seeds,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0.578749448,0,0,0,0,0,0,0,0,0.742506372,0,0,0,1.396095393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025259698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.064441447,0,0,0,0,0,0,0,0,0,0,0,0,0
agrTraditionalCropping_plants,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0.300862668,0,0,0,0,0,0,0,0,0.385991639,0,0,0,0.725759628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013131244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03349986,0,0,0,0,0,0,0,0,0,0,0,0,0
agrModernCropping_plants,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0.964582414,0,0,0,0,0,0,0,0,1.23751062,0,0,0,2.326825654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.042099496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107402411,0,0,0,0,0,0,0,0,0,0,0,0,0
livestock_meat,Central,2020,fixed,0,0,0,0,0,0,0,0,0,0,0,0,0.443071098,0,0,0,0,0,0,0,0,0.568437887,0,0,0,1.068803642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.049334203,0,0,0,0,0,0,0,0,0,0,0,0,0
