technology,dst_region,region,agent,sector,type,year,capacity
e_tec,Central,Central,A1,residential,retrofit,2020,41.79780000000
e_tec2,Central,Central,A1,residential,retrofit,2020,20.89890000000
e_tec,Eastern,Eastern,A1,residential,retrofit,2020,162.67850000000
e_tec2,Eastern,Eastern,A1,residential,retrofit,2020,81.33920000000
e_tec,Western,Western,A1,residential,retrofit,2020,141.98300000000
e_tec2,Western,Western,A1,residential,retrofit,2020,70.99150000000
e_tec,Northwest,Northwest,A1,residential,retrofit,2020,69.18680000000
e_tec2,Northwest,Northwest,A1,residential,retrofit,2020,34.59340000000
e_tec,North,North,A1,residential,retrofit,2020,53.55760000000
e_tec2,North,North,A1,residential,retrofit,2020,26.77880000000
e_tec,Northeast,Northeast,A1,residential,retrofit,2020,150.00100000000
e_tec2,Northeast,Northeast,A1,residential,retrofit,2020,75.00050000000
e_tec,BajaCalif,BajaCalif,A1,residential,retrofit,2020,26.56590000000
e_tec2,BajaCalif,BajaCalif,A1,residential,retrofit,2020,13.28300000000
e_tec,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,6.82120000000
e_tec2,BajaCalifSouth,BajaCalifSouth,A1,residential,retrofit,2020,3.41060000000
e_tec,Peninsular,Peninsular,A1,residential,retrofit,2020,21.62580000000
e_tec2,Peninsular,Peninsular,A1,residential,retrofit,2020,10.81290000000
e_tec,Central,Central,A2,residential,retrofit,2020,41.79780000000
e_tec2,Central,Central,A2,residential,retrofit,2020,20.89890000000
e_tec,Eastern,Eastern,A2,residential,retrofit,2020,162.67850000000
e_tec2,Eastern,Eastern,A2,residential,retrofit,2020,81.33920000000
e_tec,Western,Western,A2,residential,retrofit,2020,141.98300000000
e_tec2,Western,Western,A2,residential,retrofit,2020,70.99150000000
e_tec,Northwest,Northwest,A2,residential,retrofit,2020,69.18680000000
e_tec2,Northwest,Northwest,A2,residential,retrofit,2020,34.59340000000
e_tec,North,North,A2,residential,retrofit,2020,53.55760000000
e_tec2,North,North,A2,residential,retrofit,2020,26.77880000000
e_tec,Northeast,Northeast,A2,residential,retrofit,2020,150.00100000000
e_tec2,Northeast,Northeast,A2,residential,retrofit,2020,75.00050000000
e_tec,BajaCalif,BajaCalif,A2,residential,retrofit,2020,26.56590000000
e_tec2,BajaCalif,BajaCalif,A2,residential,retrofit,2020,13.28300000000
e_tec,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,6.82120000000
e_tec2,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,3.41060000000
e_tec,Peninsular,Peninsular,A2,residential,retrofit,2020,21.62580000000
e_tec2,Peninsular,Peninsular,A2,residential,retrofit,2020,10.81290000000
BIO,Central,Central,A1,power,agent,2020,1.17630000000
CC_GAS,Central,Central,A1,power,agent,2020,105.98050000000
HYD_LS,Central,Central,A1,power,agent,2020,11.62510000000
OC_GAS,Central,Central,A1,power,agent,2020,92.59880000000
OC_OIL,Central,Central,A1,power,agent,2020,3.15360000000
ON_WIND,Central,Central,A1,power,agent,2020,0.20850000000
PV_GND,Central,Central,A1,power,agent,2020,4.38790000000
BIO,Eastern,Eastern,A1,power,agent,2020,10.78720000000
CC_GAS,Eastern,Eastern,A1,power,agent,2020,168.38170000000
CC_OIL,Eastern,Eastern,A1,power,agent,2020,0.76320000000
COALP,Eastern,Eastern,A1,power,agent,2020,87.61840000000
GEOTH,Eastern,Eastern,A1,power,agent,2020,3.40590000000
HYD_LS,Eastern,Eastern,A1,power,agent,2020,203.95840000000
NUCL,Eastern,Eastern,A1,power,agent,2020,51.52980000000
OC_GAS,Eastern,Eastern,A1,power,agent,2020,49.16270000000
OC_OIL,Eastern,Eastern,A1,power,agent,2020,111.32590000000
ON_WIND,Eastern,Eastern,A1,power,agent,2020,97.47840000000
PV_GND,Eastern,Eastern,A1,power,agent,2020,13.90110000000
BIO,Western,Western,A1,power,agent,2020,6.36210000000
CC_GAS,Western,Western,A1,power,agent,2020,203.59550000000
CC_OIL,Western,Western,A1,power,agent,2020,22.27700000000
FB,Western,Western,A1,power,agent,2020,18.29090000000
GEOTH,Western,Western,A1,power,agent,2020,9.59830000000
HYD_LS,Western,Western,A1,power,agent,2020,148.87800000000
OC_GAS,Western,Western,A1,power,agent,2020,90.53920000000
OC_OIL,Western,Western,A1,power,agent,2020,8.09880000000
ON_WIND,Western,Western,A1,power,agent,2020,20.92670000000
PV_GND,Western,Western,A1,power,agent,2020,72.45490000000
CC_GAS,Northwest,Northwest,A1,power,agent,2020,144.96220000000
CC_OIL,Northwest,Northwest,A1,power,agent,2020,0.30270000000
HYD_LS,Northwest,Northwest,A1,power,agent,2020,29.68170000000
OC_GAS,Northwest,Northwest,A1,power,agent,2020,49.44840000000
